x,y,v,kappa,s
-15.718,62.184,4.193,-0.3914,74.5021
-15.815,62.359,4.319,0.0857,74.7017
-15.914,62.532,4.13,0.188,74.9013
-16.02,62.701,3.932,-0.563,75.1009
-16.107,62.881,3.723,0.6368,75.3009
-16.216,63.049,4.033,-0.4369,75.5009
-16.309,63.226,4.32,0.0545,75.7007
-16.405,63.401,4.481,0.118,75.9006
-16.505,63.575,4.299,0.0303,76.1006
-16.605,63.747,4.108,0.3348,76.3005
-16.717,63.913,3.909,-0.5778,76.5005
-16.81,64.09,4.204,0.3697,76.7004
-16.915,64.26,4.252,-0.1504,76.9
-17.014,64.433,4.06,-0.2522,77.0994
-17.105,64.611,3.858,0.5423,77.2991
-17.215,64.778,3.645,-0.6644,77.499
-17.302,64.958,3.835,0.6003,77.699
-17.409,65.126,4.135,0.0109,77.8987
-17.517,65.294,4.416,-0.2103,78.0986
-17.618,65.467,4.463,-0.1305,78.2985
-17.715,65.642,4.28,0.4819,78.4984
-17.827,65.807,4.552,-0.4029,78.6984
-17.926,65.981,4.753,0.0394,78.8983
-18.027,66.154,4.582,-0.1144,79.0983
-18.123,66.329,4.404,-0.0617,79.2982
-18.217,66.505,4.219,0.4493,79.4979
-18.327,66.672,4.025,0.0606,79.6979
-18.439,66.838,3.821,-0.6048,79.8979
-18.53,67.016,4.122,0.2495,80.0975
-18.629,67.189,3.988,0.1453,80.2969
-18.734,67.359,3.782,-0.3874,80.4966
-18.825,67.537,3.565,0.1921,80.6966
-18.923,67.711,3.333,0.102,80.8966
-19.024,67.884,3.083,0.2037,81.0966
-19.133,68.052,2.812,0.0705,81.2965
-19.244,68.218,2.511,0.1863,81.4965
-19.36,68.38,2.171,0.8377,81.6958
-19.502,68.52,1.764,2.836,81.8957
-19.696,68.569,2.348,-0.2342,82.0957
-19.888,68.627,2.813,0.1143,82.2957
-20.08,68.68,3.181,0.5771,82.4956
-20.276,68.711,2.921,1.0348,82.6941
-20.476,68.701,3.306,0.3764,82.8938
-20.674,68.676,3.651,0.3711,83.0938
-20.871,68.637,3.425,0.7527,83.2938
-21.058,68.569,3.188,0.1805,83.4933
-21.244,68.494,2.926,0.8612,83.6933
-21.41,68.391,2.645,1.262,83.8892
-21.549,68.248,3.065,-0.0954,84.0892
-21.692,68.107,3.434,0.0464,84.2892
-21.832,67.965,3.768,0.4467,84.4892
-21.959,67.811,4.072,0.4125,84.6884
-22.074,67.647,4.357,-0.2318,84.8883
-22.196,67.489,4.624,-0.3903,85.0883
-22.33,67.34,4.679,0.4032,85.2883
-22.451,67.182,4.928,0.2511,85.488
-22.564,67.017,5.012,0.0738,85.688
-22.675,66.851,4.85,-0.0566,85.888
-22.788,66.685,4.682,0.0522,86.088
-22.899,66.519,4.508,-0.1035,86.288
-23.014,66.355,4.327,-0.4715,86.488
-23.143,66.203,4.595,-0.3938,86.6872
-23.284,66.061,4.767,0.0479,86.8872
-23.423,65.918,4.596,-0.0774,87.0872
-23.565,65.777,4.418,-0.4513,87.2872
-23.719,65.65,4.234,-0.4498,87.4867
-23.883,65.537,4.041,-0.3134,87.6866
-24.055,65.434,3.838,-0.3258,87.8865
-24.233,65.342,3.623,-0.4621,88.0865
-24.418,65.267,3.396,-0.7657,88.2864
-24.612,65.222,3.731,0.0147,88.4855
-24.806,65.176,3.526,0.2591,88.6851
-24.998,65.119,3.291,-0.3582,88.8849
-25.193,65.077,3.039,-0.9562,89.0849
-25.393,65.072,3.411,0.5982,89.2849
-25.591,65.044,3.242,-0.6931,89.4843
-25.787,65.042,2.989,-0.6501,89.6809
-25.985,65.066,2.71,0.6042,89.8801
-26.185,65.067,2.397,-1.5369,90.0799
-26.376,65.126,2.722,1.1917,90.2799
-26.574,65.14,3.129,-0.255,90.4786
-26.771,65.163,3.453,-0.7405,90.6775
-26.964,65.216,3.784,-0.5207,90.877
-27.15,65.288,4.089,0.2166,91.077
-27.34,65.352,4.076,-0.5314,91.277
-27.521,65.436,4.166,-0.5087,91.4768
